venda_id,cliente_id,produto_id,tempo_id,quantidade,valor_total
1,602,288,352,1,770.06
2,617,487,14,2,1067.12
3,824,411,28,4,4321.4
4,173,457,125,2,6765.96
5,321,110,244,6,16543.32
6,579,232,351,1,3096.72
7,34,209,268,10,36778.1
8,127,17,120,4,7728.16
9,471,403,224,1,4494.79
10,177,328,75,3,11102.16
11,180,19,245,6,9016.8
12,692,171,94,5,24416.35
13,885,124,250,2,6420.84
14,328,230,64,10,3533.3
15,923,271,151,2,7528.04
16,122,392,131,1,866.58
17,911,35,130,10,20326.3
18,351,335,307,10,6458.7
19,993,186,58,8,28435.92
20,274,175,28,10,31768.2
21,755,222,248,5,10338.6
22,32,223,302,2,7222.94
23,881,340,20,10,29878.5
24,8,144,115,7,8298.71
25,621,75,273,10,13480.6
26,591,178,239,7,12032.79
27,311,380,216,2,6984.92
28,452,317,334,4,805.08
29,150,2,67,7,13776.42
30,895,7,272,4,17752.48
31,475,374,309,8,11379.04
32,808,194,38,4,12856.76
33,158,40,109,1,2325.6
34,10,404,30,3,3806.58
35,57,391,288,1,3707.73
36,957,30,347,2,67.14
37,717,287,209,6,18622.74
38,900,322,71,7,8380.26
39,116,127,70,7,18630.29
40,398,263,346,9,9653.94
41,521,65,47,4,5731.04
42,685,430,261,3,14430.48
43,248,136,70,4,456.52
44,820,27,271,1,2927.65
45,271,95,262,10,13505.2
46,626,66,197,10,22937.5
47,641,428,61,2,2820.36
48,104,487,95,10,5335.6
49,793,35,364,4,8130.52
50,199,430,219,4,19240.64
51,802,120,277,10,11565.2
52,823,192,310,6,8470.86
53,84,27,91,7,20493.55
54,620,418,323,3,7684.02
55,312,184,131,4,7801.36
56,820,249,317,10,27580.5
57,174,238,257,10,212.7
58,468,345,278,1,3620.25
59,680,60,224,5,11983.4
60,177,117,346,3,6775.68
61,661,147,223,1,4041.82
62,864,262,175,1,518.78
63,120,260,308,2,4138.36
64,294,183,244,10,37649.8
65,217,419,137,6,12906.06
66,301,417,243,6,21666.36
67,73,115,104,3,3927.27
68,632,39,51,5,21364.9
69,332,369,193,4,553.64
70,907,179,288,10,29274.5
71,93,484,183,6,27888.96
72,680,273,201,7,19591.32
73,225,217,120,10,37649.2
74,202,481,323,9,34540.83
75,251,232,166,9,27870.48
76,235,421,192,3,8788.71
77,667,276,61,3,12821.79
78,862,339,301,7,2305.52
79,709,429,55,4,19367.52
80,235,460,253,3,7962.24
81,160,6,339,9,30624.84
82,126,302,184,5,17651.05
83,542,230,102,5,1766.65
84,238,462,286,10,47476.6
85,31,334,246,6,20155.32
86,421,59,10,4,19937.6
87,837,329,65,6,18447.6
88,247,434,256,5,7550.0
89,339,348,224,2,6688.9
90,208,120,145,8,9252.16
91,602,413,73,10,32951.9
92,76,260,325,6,12415.08
93,52,149,88,6,9827.4
94,169,274,297,8,6873.28
95,737,405,153,9,27841.95
96,808,176,340,8,22298.0
97,179,255,333,5,8811.85
98,583,178,289,6,10313.82
99,299,237,153,8,11729.6
100,736,302,354,2,7060.42
101,260,16,150,10,40155.7
102,55,41,191,2,4137.38
103,370,331,335,1,659.05
104,313,440,29,8,17594.32
105,970,262,113,3,1556.34
106,629,108,305,7,1630.3
107,328,409,49,6,27502.98
108,6,76,238,2,889.9
109,842,276,238,10,42739.3
110,365,93,233,7,13173.51
111,320,143,43,8,2327.84
112,767,64,183,5,21691.4
113,15,97,296,9,40965.39
114,338,447,91,3,2099.94
115,428,42,14,2,3397.18
116,596,425,264,7,30994.18
117,631,43,203,2,9844.6
118,982,162,48,7,31687.11
119,422,488,96,7,24914.19
120,349,34,185,3,13687.17
121,967,442,219,8,29326.0
122,756,398,358,8,6494.96
123,152,430,218,7,33671.12
124,768,413,346,4,13180.76
125,325,453,13,2,6365.0
126,15,390,161,4,173.92
127,318,419,130,5,10755.05
128,558,320,177,5,4414.8
129,38,460,138,2,5308.16
130,642,36,321,2,3503.04
131,347,355,40,1,1406.27
132,363,82,322,8,17892.8
133,142,132,185,2,3401.04
134,786,39,1,5,21364.9
135,35,186,22,5,17772.45
136,68,441,95,7,25957.26
137,391,458,304,7,29244.6
138,164,313,264,10,28152.8
139,530,338,73,1,910.37
140,249,146,228,5,11474.65
141,25,341,121,7,20197.45
142,140,15,244,4,9428.2
143,141,18,327,1,3229.74
144,391,316,300,5,19990.3
145,90,85,344,4,10437.16
146,933,321,174,6,25489.56
147,304,268,320,6,22776.3
148,465,25,36,3,3664.2
149,430,389,187,5,6233.0
150,203,37,37,1,1230.33
151,133,51,153,6,17577.48
152,12,478,168,10,764.0
153,959,279,182,3,4409.19
154,394,306,36,7,2024.89
155,390,217,295,1,3764.92
156,569,343,152,2,4097.58
157,750,176,358,1,2787.25
158,629,276,152,7,29917.51
159,10,289,105,5,5968.1
160,407,348,104,10,33444.5
161,725,441,214,8,29665.44
162,322,308,175,6,3847.8
163,535,468,105,9,27796.59
164,740,372,1,8,22298.64
165,250,312,121,4,16096.0
166,675,466,53,2,5453.08
167,908,223,145,2,7222.94
168,310,240,26,6,24375.48
169,122,23,58,7,3837.82
170,292,407,309,2,6301.28
171,68,222,10,1,2067.72
172,202,37,338,3,3690.99
173,679,466,44,3,8179.62
174,192,174,260,5,18459.15
175,679,361,30,6,4243.44
176,820,24,82,8,34058.24
177,12,490,256,1,4645.3
178,554,286,56,3,11757.84
179,284,54,108,2,5932.02
180,743,212,332,5,6071.5
181,470,408,326,8,480.56
182,312,268,32,5,18980.25
183,731,448,204,10,8830.3
184,504,121,128,6,9971.46
185,397,79,221,7,31136.35
186,909,33,357,9,18673.83
187,861,75,253,8,10784.48
188,912,473,318,5,2110.35
189,315,228,70,10,33875.5
190,361,39,365,8,34183.84
191,568,175,344,9,28591.38
192,817,366,337,5,15854.05
193,47,428,259,10,14101.8
194,480,97,307,3,13655.13
195,73,20,261,5,9069.15
196,13,58,354,2,8512.52
197,876,299,44,5,3440.35
198,528,336,142,2,2259.42
199,347,322,38,3,3591.54
200,301,317,233,3,603.81
201,586,306,342,3,867.81
202,989,210,146,3,11954.34
203,679,364,213,3,4487.64
204,12,130,161,6,25632.48
205,396,250,195,7,9128.91
206,660,141,308,1,1210.63
207,827,251,272,5,23801.5
208,348,364,332,2,2991.76
209,347,147,60,10,40418.2
210,263,118,54,10,15517.1
211,110,415,24,7,19157.32
212,585,104,247,4,17636.76
213,884,196,147,3,1720.14
214,868,214,146,5,8820.45
215,639,272,76,9,20345.22
216,255,179,290,10,29274.5
217,532,372,111,6,16723.98
218,385,74,172,2,7432.18
219,386,375,227,7,10878.77
220,58,25,13,3,3664.2
221,182,363,326,5,24206.45
222,82,411,203,7,7562.45
223,433,407,86,9,28355.76
224,581,311,200,5,7482.45
225,274,258,169,6,13967.52
226,210,117,230,10,22585.6
227,394,398,215,1,811.87
228,106,498,145,6,6757.86
229,404,68,195,6,25404.18
230,222,299,128,7,4816.49
